Date,state
4/11/2019,New South Wales
4/11/2019,Victoria
4/12/2019,Victoria
4/12/2019,Victoria
4/12/2019,New South Wales
4/12/2019,New South Wales
4/12/2019,Victoria
4/12/2019,Victoria
4/12/2019,New South Wales
4/14/2019,New South Wales
4/15/2019,Australian Capital Territory
4/15/2019,Western Australia
4/15/2019,New South Wales
4/15/2019,New South Wales
4/16/2019,New South Wales
4/16/2019,New South Wales
4/16/2019,Victoria
4/16/2019,Victoria
4/16/2019,Victoria
4/16/2019,Queensland
4/17/2019,New South Wales
4/17/2019,New South Wales
4/17/2019,New South Wales
4/17/2019,New South Wales
4/17/2019,New South Wales
4/18/2019,New South Wales
4/18/2019,Victoria
4/18/2019,South Australia
4/18/2019,Victoria
4/18/2019,New South Wales
4/18/2019,New South Wales
4/18/2019,New South Wales
4/18/2019,New South Wales
4/18/2019,New South Wales
4/18/2019,New South Wales
4/18/2019,New South Wales
4/23/2019,New South Wales
4/23/2019,New South Wales
4/23/2019,South Australia
4/23/2019,New South Wales
4/23/2019,New South Wales
4/23/2019,Queensland
4/24/2019,New South Wales
4/24/2019,Queensland
4/24/2019,Victoria
4/24/2019,Victoria
4/24/2019,New South Wales
4/25/2019,Victoria
4/26/2019,Victoria
4/26/2019,New South Wales
4/26/2019,New South Wales
4/26/2019,Queensland
4/26/2019,New South Wales
4/26/2019,New South Wales
4/29/2019,Queensland
4/29/2019,Queensland
4/29/2019,New South Wales
4/29/2019,New South Wales
4/29/2019,New South Wales
4/29/2019,New South Wales
4/29/2019,New South Wales
4/29/2019,Western Australia
4/29/2019,Western Australia
4/29/2019,New South Wales
4/30/2019,New South Wales
4/30/2019,New South Wales
4/30/2019,New South Wales
4/30/2019,Victoria
4/30/2019,Victoria
4/30/2019,New South Wales
5/1/2019,New South Wales
5/1/2019,New South Wales
5/1/2019,Victoria
5/1/2019,New South Wales
5/1/2019,Victoria
5/1/2019,South Australia
5/1/2019,New South Wales
5/1/2019,South Australia
5/1/2019,Victoria
5/1/2019,Victoria
5/1/2019,Victoria
5/1/2019,New South Wales
5/1/2019,New South Wales
5/1/2019,Victoria
5/2/2019,Victoria
5/2/2019,New South Wales
5/2/2019,Victoria
5/2/2019,New South Wales
5/2/2019,New South Wales
5/2/2019,Victoria
5/2/2019,New South Wales
5/3/2019,New South Wales
5/3/2019,New South Wales
5/3/2019,New South Wales
5/3/2019,Australian Capital Territory
5/3/2019,New South Wales
5/3/2019,Victoria
5/3/2019,Victoria
5/6/2019,New South Wales
5/6/2019,New South Wales
5/6/2019,New South Wales
5/6/2019,New South Wales
5/6/2019,Victoria
5/6/2019,Victoria
